	body.size.female	biomass.female	body.size.male	biomass.male	forest.affinity	hunting.mode	family	shading	moisture	dispersal	RL D	Bestand
Euophrys frontalis	3,79	6,47970566	3,135	3,88480369	mm	Other hunters	Salticidae	0,36	0,48	0	*	sh
Evansia merens	2,75	2,728550365	2,15	1,405091156	m	Other hunters	Linyphiidae	NA	NA	0	D	s
Gonatium rubens	3,05	3,607285254	2,7	2,596837129	mo	Other hunters	Linyphiidae	0,41	0,5	1	*	sh
Gongylidiellum latebricola	1,5	0,532271282	1,5	0,532271282	mm	Other hunters	Linyphiidae	0,45	0,38	0	*	sh
Gongylidiellum vivum	1,75	0,806579202	1,45	0,485773187	mo	Other hunters	Linyphiidae	0,37	0,31	1	*	h
Hahnia nava	1,75	0,806579202	1,75	0,806579202	o	Sheet web	Hahniidae	0,23	0,56	0	*	sh
Hahnia pusilla	1,4	0,441917091	1,4	0,441917091	w	Sheet web	Hahniidae	0,44	0,45	0	*	sh
Haplodrassus signifer	8,45	56,2965756	6,05	22,86828746	mo	Ground hunters	Gnaphosidae	0,4	0,6	0	*	sh
Haplodrassus silvestris	8,4	55,40287053	7,1	35,20789594	w	Ground hunters	Gnaphosidae	0,64	0,41	0	*	sh
Harpactea hombergi	4,5	10,29516339	5	13,67769219	w	Specialists	Dysderidae	0,58	0,55	0	*	sh
Heliophanus flavipes	4,5	10,29516339	4,5	10,29516339	mo	Other hunters	Salticidae	0,17	0,53	0	*	sh
Histopona torpida	6,6	28,91518415	5,5	17,68573993	w	Sheet web	Agelenidae	0,64	0,39	0	*	sh
Mangora acalypha	5,75	19,93780154	3,25	4,281107591	mo	Orb web	Araneidae	0,3	0,62	1	*	sh
Mermessus trilobatus	1,85	0,936959007	1,85	0,936959007	mo	Other hunters	Linyphiidae	NA	NA	1	*	nb
Metopobactrus prominulus	1,8	0,87023343	1,6	0,633445309	mo	Other hunters	Linyphiidae	0,31	0,68	0	*	h
Micaria micans	4,1	8,009810126	3,5	5,228032504	o	Ground hunters	Gnaphosidae	0,22	0,36	1	#NV	#NV
Micrargus herbigradus	2,15	1,405091156	2	1,156153093	w	Other hunters	Linyphiidae	0,48	0,35	1	*	sh
Micrargus subaequalis	1,85	0,936959007	1,8	0,87023343	mo	Other hunters	Linyphiidae	0,2	0,38	1	*	sh
Microlinyphia pusilla	4,25	8,824689404	3,5	5,228032504	o	Sheet web	Linyphiidae	0,27	0,39	1	*	sh
Microneta viaria	2,25	1,588334553	2,25	1,588334553	w	Sheet web	Linyphiidae	0,58	0,36	1	*	sh
Monocephalus fuscipes	2,3	1,685309963	1,85	0,936959007	w	Other hunters	Linyphiidae	0,49	0,3	1	*	mh
Neottiura bimaculata	2,6	2,345578227	2,4	1,890244894	mo	Space web	Theridiidae	0,26	0,37	1	*	sh
Oedothorax apicatus	3	3,450041303	2,1	1,31871136	mo	Other hunters	Linyphiidae	0,19	0,28	1	*	sh
Oedothorax fuscus	2,55	2,225926897	2,15	1,405091156	mo	Other hunters	Linyphiidae	0,2	0,22	1	*	sh
Oedothorax gibbosus	2,75	2,728550365	2,1	1,31871136	m	Other hunters	Linyphiidae	0,32	0,23	1	*	sh
Oedothorax retusus	2,85	3,004406336	2,1	1,31871136	o	Other hunters	Linyphiidae	0,25	0,18	1	*	sh
Ostearius melanopygius	2,15	1,405091156	2,4	1,890244894	o	Other hunters	Linyphiidae	0,17	0,31	1	*	h
Ozyptila atomaria	5	13,67769219	3,5	5,228032504	mo	Ambush hunters	Thomisidae	0,3	0,63	0	*	sh
Ozyptila praticola	4,15	8,275926264	2,75	2,728550365	w	Ambush hunters	Thomisidae	0,44	0,34	0	*	sh
Ozyptila simplex	4,55	10,60651854	2,5	2,110190027	o	Ambush hunters	Thomisidae	0,16	0,39	1	*	h
Ozyptila trux	4,7	11,57591443	3,5	5,228032504	mm	Ambush hunters	Thomisidae	0,46	0,33	0	*	sh
Pachygnatha clercki	5,75	19,93780154	4,75	11,91097192	o	Orb web	Tetragnathidae	0,27	0,26	1	*	sh
Pachygnatha degeeri	3,85	6,760030998	3,25	4,281107591	o	Orb web	Tetragnathidae	0,27	0,38	1	*	sh
Palliduphantes insignis	2,05	1,235750974	2,05	1,235750974	o	Sheet web	Linyphiidae	0,17	0,31	1	*	mh
Palliduphantes pallidus	1,95	1,079860389	1,95	1,079860389	w	Sheet web	Linyphiidae	0,54	0,37	1	*	sh
Panamomops sulcifrons	1,35	0,400639211	1,35	0,400639211	o	Other hunters	Linyphiidae	0,26	0,37	0	*	mh
Pardosa agrestis	5	13,67769219	4,75	11,91097192	o	Ground hunters	Lycosidae	0,12	0,3	1	*	sh
Pardosa amentata	6,5	27,74900417	6	22,36225287	mo	Ground hunters	Lycosidae	0,35	0,26	1	*	sh
Pardosa lugubris	6,4	26,61286579	4,8	12,25206616	w	Ground hunters	Lycosidae	0,49	0,42	1	*	sh
Pardosa nigriceps	5,9	21,37145215	4,95	13,31201051	o	Ground hunters	Lycosidae	0,34	0,36	1	*	h
Pardosa palustris	6,5	27,74900417	5,5	17,68573993	o	Ground hunters	Lycosidae	0,2	0,32	1	*	sh
Pardosa prativaga	6,35	26,05596145	5,85	20,88660337	o	Ground hunters	Lycosidae	0,2	0,26	1	*	sh
